LABELS
SEPARATOR TAB

DATA
20298_3_42	Alistipes shahii (0.053%)
18048_2_67	Ruminococcus_A (0.015%)
13154_4_45	Anaerostipes hadrus (0.056%)
18048_1_42	Anaerostipes caccae (0.004%)
21673_4_29	Erysipelatoclostridium (0.001%)
13470_2_69	Bifidobacterium adolescentis_A (0.0%)
21673_4_82	Bifidobacterium adolescentis_A (0.0%)
12718_7_81	Erysipelatoclostridium saccharogumia (0.005%)
13414_6_73	Clostridium_P perfringens (0.0%)
20298_2_27	Lactobacillus_C paracasei (0.0%)
18048_1_64	Alistipes onderdonkii (0.042%)
18048_2_87	CAG-65 sp3 (0.076%)
12718_7_44	Clostridium_Q symbiosum (0.018%)
15841_8_79	Lactobacillus_C rhamnosus (0.0%)
12718_7_54	CAG-156 (0.05%)
21673_4_63	Bacteroides uniformis (0.075%)
13154_4_43	Staphylococcus nepalensis (0.0%)
21673_4_17	Bacteroides xylanisolvens (0.036%)
21673_4_95	Bacillus_A thuringiensis_J (0.0%)
20298_2_42	Pediococcus acidilactici (0.0%)
14207_7_32	Anaerostipes (0.014%)
18048_1_74	Barnesiella intestinihominis (0.0%)
21673_4_77	Clostridium_Q (0.238%)
20298_3_31	Bacteroides xylanisolvens (0.04%)
21673_4_61	Bacteroides fragilis (0.172%)
20287_6_76	Blautia_A obeum (0.059%)
12718_7_8	Klebsiella pneumoniae (0.0%)
13414_6_27	Coprococcus eutactus_A (0.156%)
14207_7_18	Clostridium_AJ (0.02%)
18048_1_90	Odoribacter splanchnicus (0.076%)
20287_6_67	Bacteroides fragilis (0.175%)
12718_7_87	Streptococcus parasanguinis (0.001%)
12718_7_43	Erysipelatoclostridium ramosum (0.007%)
18048_1_47	Lactobacillus gasseri_A (0.0%)
20287_6_9	Bacteroides_B dorei (0.016%)
13414_6_75	Eubacterium_I ramulus (0.024%)
11861_6_91	Eisenbergiella (0.008%)
11861_6_59	Ruminococcus_B faecis (0.16%)
20298_2_44	Enterococcus_B faecium_A (0.007%)
13470_2_74	Clostridium saudiense (0.0%)
14207_6_5	Enterococcus faecalis (0.0%)
20287_6_48	Blautia_A (0.011%)
20298_2_56	Lactobacillus_C paracasei (0.0%)
20298_3_40	Odoribacter massiliensis (0.013%)
18048_1_61	Bacteroides uniformis (0.176%)
8080_1_81	Clostridium paraputrificum (0.0%)
12718_7_26	Bacteroides faecis (0.008%)
21673_4_89	Bacteroides uniformis (0.074%)
13414_6_2	CAG-603 (0.015%)
14207_6_15	Flavonifractor plautii (0.007%)
15841_8_80	Escherichia (0.0%)
21673_4_51	Enterococcus faecalis (0.0%)
14207_7_62	Anaerotruncus colihominis (0.02%)
20287_6_84	Dorea formicigenerans (0.043%)
20427_4_28	Blautia_A (0.005%)
12718_7_30	Bacteroides (0.033%)
14207_7_72	Turicibacter sanguinis_A (0.0%)
14207_7_1	Lachnospira eligens (0.195%)
13470_2_82	Blautia_A wexlerae (0.381%)
14207_7_58	CAG-41 sp1 (0.183%)
18048_2_46	Clostridium_P perfringens (0.0%)
18048_1_83	Ruminococcus_B torques (0.007%)
20287_6_8	Enterococcus faecalis (0.0%)
12718_7_72	Agathobaculum sp1 (0.129%)
13414_6_59	Erysipelatoclostridium (0.015%)
20287_6_17	CAG-65 (0.053%)
13414_6_19	Roseburia inulinivorans (0.016%)
12718_7_79	Clostridium_M clostridioformis (0.014%)
20298_2_18	Pediococcus acidilactici (0.0%)
14207_7_91	Agathobacter rectalis (0.335%)
18048_2_86	Dorea longicatena (0.099%)
21673_4_39	Enterococcus faecalis (0.0%)
13414_6_65	Blautia_A obeum (0.157%)
18048_2_89	Eubacterium_G ventriosum (0.024%)
12718_7_6	Klebsiella pneumoniae (0.0%)
18048_2_62	Bacteroides stercoris (0.009%)
13414_6_70	CAG-45 (0.448%)
21673_4_1	Bacteroides thetaiotaomicron (0.04%)
12718_7_27	Bacteroides fragilis (0.07%)
13470_2_77	Clostridium_P ventriculi (0.038%)
20287_6_44	Roseburia intestinalis (0.024%)
13414_6_39	Massilimaliae (0.004%)
20298_2_63	Enterococcus_B faecium_A (0.01%)
13470_2_72	Eubacterium_D innocuum (0.005%)
20287_6_25	Coprococcus_A catus (0.027%)
18048_1_39	Clostridium_P perfringens (0.0%)
13414_6_63	Blautia_A massiliensis (0.346%)
14207_7_87	Eubacterium_E hallii_A (0.694%)
20298_2_38	Enterococcus faecalis (0.0%)
20298_3_3	Staphylococcus epidermidis (0.0%)
14207_7_52	Clostridium_A leptum (0.018%)
14207_7_86	Coprococcus eutactus_A (0.214%)
13470_2_57	Coprococcus_B comes (0.057%)
14207_7_35	Blautia_A massiliensis (0.32%)
18048_2_92	Dorea formicigenerans (0.035%)
20298_3_23	Streptococcus (0.001%)
18048_2_57	Collinsella aerofaciens (0.0%)
14207_7_31	Anaerostipes hadrus (0.059%)
11861_6_92	Tidjanibacter massiliensis (0.087%)
13470_2_65	Bacteroides faecis (0.01%)
13414_6_32	Blautia_A (0.021%)
20298_3_50	Clostridium (0.0%)
21673_4_62	Bacteroides uniformis (0.073%)
20287_6_77	Dorea longicatena (0.088%)
13470_2_75	Clostridium disporicum (0.001%)
13470_2_73	Megasphaera (0.001%)
20287_6_43	Dorea longicatena (0.088%)
20298_3_18	Streptococcus (0.003%)
20287_6_72	Blautia_A (0.041%)
14207_7_45	CAG-24 sp1 (0.121%)
12718_7_9	Paraclostridium bifermentans (0.0%)
13414_6_55	Bacteroides salyersiae (0.023%)
14207_6_11	Anaerostipes (0.001%)
20287_6_91	Blautia_A (0.005%)
14207_7_38	Clostridium_Q symbiosum (0.013%)
20298_2_53	Lactobacillus_B salivarius (0.0%)
20298_2_61	Clostridium_J sp1 (0.002%)
14207_7_74	Peptostreptococcaceae (0.0%)
8080_1_96	Intestinimonas massiliensis (0.095%)
18048_1_75	Agathobacter rectalis (0.275%)
21673_4_58	Bacteroides_B vulgatus (0.005%)
12718_7_3	Enterobacter mori (0.0%)
18391_1_6	Bifidobacterium longum (0.008%)
21673_4_5	Barnesiella intestinihominis (0.006%)
21673_4_46	Bacteroides stercoris (0.017%)
14207_7_66	Bacteroides ovatus (0.055%)
8080_1_72	Blautia producta (0.003%)
20298_2_12	Clostridium_P perfringens (0.0%)
20298_3_44	Gabonibacter massiliensis (0.0%)
8080_1_93	CAG-45 (0.012%)
12718_7_12	Klebsiella pneumoniae (0.0%)
20287_6_3	Achromobacter xylosoxidans (0.0%)
20287_6_6	Klebsiella_A sp1 (0.0%)
21673_4_55	Turicibacter sanguinis (0.0%)
18048_1_59	Blautia_A wexlerae (0.293%)
14207_7_73	Erysipelatoclostridium (0.006%)
20287_6_64	Bifidobacterium adolescentis_A (0.0%)
12718_7_83	Eubacterium_E hallii (0.016%)
18048_2_81	CAG-65 sp3 (0.075%)
21673_4_70	Bacteroides uniformis (0.072%)
14207_7_8	Fusicatenibacter saccharivorans (0.336%)
13414_6_68	CAG-95 (0.051%)
18048_2_64	Alistipes onderdonkii (0.04%)
8080_1_78	Hungatella hathewayi (0.009%)
20298_3_35	Blautia (0.013%)
20298_3_75	Klebsiella_A oxytoca (0.0%)
20287_6_19	Bacteroides_B vulgatus (0.005%)
20287_6_41	Blautia_A obeum (0.058%)
14207_7_60	Clostridium_AJ (0.018%)
20298_3_65	Sellimonas (0.032%)
20298_3_51	Pediococcus acidilactici (0.0%)
20287_6_13	Bacteroides uniformis (0.074%)
13414_6_35	Dorea longicatena (0.093%)
18048_1_49	Clostridium_P perfringens (0.0%)
15841_8_93	Erysipelatoclostridium ramosum (0.006%)
13414_6_30	Ruminococcus_B torques (0.009%)
20298_2_50	Bifidobacterium (0.0%)
14207_7_40	Ruminococcus_A (0.028%)
20298_3_33	Klebsiella pneumoniae (0.0%)
14207_7_48	Eisenbergiella tayi (0.006%)
13470_2_58	Oscillibacter sp6 (0.025%)
21673_4_37	CAG-56 (0.026%)
13414_6_17	Ruminococcus_B faecis (0.093%)
21673_4_48	Bacteroides fragilis (0.172%)
20298_2_39	Enterococcus faecalis (0.0%)
20298_3_62	Lachnoclostridium_A edouardi (0.003%)
15841_8_81	Enterococcus faecalis (0.0%)
15841_8_87	Enterococcus faecalis (0.0%)
21673_4_19	Blautia_A (0.02%)
13414_6_10	Catenibacterium mitsuokai (0.391%)
14670_1_61	Enterococcus_D (0.0%)
21673_4_60	Blautia_A obeum_A (0.017%)
20298_2_3	Micrococcus luteus (0.0%)
12718_7_33	Barnesiella intestinihominis (0.007%)
20298_2_34	Enterococcus_B faecium (0.003%)
12718_7_35	Bifidobacterium pseudocatenulatum (0.0%)
21673_4_22	Ruminococcus_D bicirculans (0.121%)
15841_8_83	Eubacterium_D innocuum (0.001%)
20298_2_23	Bacteroides (0.034%)
12718_7_95	Blautia_A (0.039%)
11861_6_57	Blautia_A wexlerae (0.32%)
13414_6_36	Ruminococcus_B gnavus (0.009%)
20298_2_59	Clostridium_P perfringens (0.0%)
18391_1_5	Bifidobacterium breve (0.001%)
13414_6_67	CAG-65 (0.036%)
18048_1_58	Roseburia inulinivorans (0.012%)
13414_6_1	Dorea (0.027%)
14207_7_56	Pseudoflavonifractor capillosus (0.027%)
20287_6_20	Dorea formicigenerans (0.036%)
18048_2_75	Agathobacter rectalis (0.28%)
18048_1_86	Dorea longicatena (0.096%)
20298_2_60	Enterococcus_D gallinarum (0.0%)
21673_4_83	Clostridium paraputrificum (0.0%)
12718_7_58	Lactobacillus_B ruminis (0.001%)
18048_2_72	Blautia_A obeum (0.077%)
14207_7_67	Bacteroides_B vulgatus (0.006%)
20287_6_83	Bacteroides thetaiotaomicron (0.039%)
20287_6_85	Bacteroides_B vulgatus (0.004%)
8080_1_77	Clostridium saudiense (0.0%)
14207_7_16	Oscillibacter sp6 (0.122%)
14207_7_28	Emergencia (0.004%)
14207_6_10	Bacteroides caecimuris (0.036%)
21673_4_6	Bacteroides_B vulgatus (0.005%)
18048_2_78	Sutterella wadsworthensis (0.0%)
12718_7_80	Clostridium_A leptum (0.017%)
18048_1_66	Bacteroides faecis (0.007%)
13414_6_72	Coprococcus eutactus_A (0.23%)
18048_1_87	CAG-65 sp3 (0.075%)
18048_2_65	Coprococcus_B comes (0.054%)
20298_3_25	Streptococcus (0.001%)
13414_6_26	Collinsella aerofaciens (0.0%)
12718_7_89	Adlercreutzia equolifaciens (0.251%)
21673_4_20	Bacteroides cellulosilyticus (0.239%)
13414_6_34	Hungatella hathewayi_A (0.006%)
17138_5_75	Bacillus_X simplex (0.0%)
12718_7_52	Ruminococcus_B fissicatena (0.001%)
21673_4_4	Enterococcus faecalis (0.0%)
13414_6_71	Roseburia inulinivorans (0.024%)
14672_4_3	Enterococcus faecalis (0.001%)
13414_6_11	Clostridium saudiense (0.001%)
12718_7_42	Massilioclostridium coli (0.012%)
18048_2_77	Bifidobacterium adolescentis_A (0.0%)
20298_3_7	Enterococcus_D gallinarum (0.0%)
21673_4_45	Enterococcus faecalis (0.0%)
20298_2_30	Alistipes shahii (0.021%)
20298_3_11	Enterococcus faecalis (0.0%)
17138_5_74	Acinetobacter lwoffii_A (0.0%)
13414_6_24	Bacteroides finegoldii (0.007%)
18048_1_79	Bacteroides fragilis (0.066%)
18048_2_68	Bacteroides_B vulgatus (0.014%)
14207_7_2	Intestinibacter bartlettii (0.0%)
12718_7_21	Staphylococcus_A lentus (0.0%)
14207_7_94	Ruminococcus_D bicirculans (0.132%)
20298_2_62	Clostridium_J sp1 (0.001%)
20298_2_64	Pediococcus acidilactici (0.0%)
20298_3_36	Peptoniphilus_A harei (0.0%)
20298_3_52	Clostridium_B tyrobutyricum (0.0%)
13414_6_58	Erysipelatoclostridium (0.002%)
20287_6_81	Bacteroides_B vulgatus (0.006%)
20287_6_15	Dorea formicigenerans (0.037%)
13414_6_54	Faecalibacterium prausnitzii_D (0.552%)
12718_7_18	Lactobacillus_H reuteri_A (0.0%)
15841_8_84	Erysipelatoclostridium ramosum (0.005%)
14207_7_63	Intestinimonas massiliensis (0.07%)
17138_5_73	Clostridium_P perfringens (0.0%)
13414_6_20	Blautia_A (0.027%)
20287_6_2	Achromobacter xylosoxidans (0.0%)
20298_2_28	Flavonifractor plautii (0.056%)
20298_3_55	Turicibacter sanguinis (0.0%)
14207_7_51	Ruminiclostridium_E siraeum (0.009%)
12718_7_31	Bacteroides uniformis (0.139%)
12718_7_50	Enterobacter cloacae_A (0.0%)
13470_2_71	Erysipelatoclostridium (0.005%)
21673_4_79	Bacteroides_B vulgatus (0.003%)
18048_1_46	Clostridium_P perfringens (0.0%)
20298_3_54	Bifidobacterium animalis (0.0%)
13414_6_69	Lachnospiraceae (0.017%)
14207_7_92	DTU089 (0.009%)
8080_1_69	Tyzzerella nexilis (0.007%)
21673_4_90	Bacteroides uniformis (0.074%)
18048_1_92	Dorea formicigenerans (0.034%)
14207_7_85	Coprococcus_B comes (0.094%)
20298_2_25	Bacillus_A thuringiensis_J (0.0%)
14207_7_20	Bacteroides_B vulgatus (0.014%)
13414_6_48	Bacteroides uniformis (0.14%)
21673_4_43	Enterococcus_B durans (0.0%)
20298_2_6	Hungatella hathewayi_A (0.003%)
14207_7_39	Hungatella hathewayi (0.005%)
12718_7_19	Escherichia (0.0%)
20298_3_76	Klebsiella_A oxytoca (0.0%)
13414_6_60	UBA1191 (0.016%)
13414_6_62	Clostridium_AJ (0.016%)
13414_6_31	Ruminococcus_B (0.001%)
12718_7_11	Proteus mirabilis (0.0%)
14207_7_42	Lachnospiraceae (0.016%)
12718_7_91	Bifidobacterium (0.0%)
14207_7_17	Ruminococcus_D bicirculans (0.122%)
15841_8_85	Anaerostipes caccae (0.004%)
18048_1_70	Subdoligranulum formicilis (0.457%)
20298_3_37	Klebsiella pneumoniae (0.0%)
18048_1_68	Bacteroides_B vulgatus (0.014%)
20287_6_18	Sellimonas intestinalis (0.019%)
15841_8_82	Clostridium_P perfringens (0.0%)
12718_7_93	CAG-56 (0.014%)
20298_3_4	Citrobacter pasteurii (0.0%)
20298_3_2	Bifidobacterium animalis (0.0%)
20298_2_49	Streptococcus agalactiae (0.0%)
12718_7_5	Klebsiella pneumoniae (0.0%)
18048_2_47	Lactobacillus gasseri_A (0.0%)
18048_2_85	CAG-81 (0.044%)
14207_7_13	CAG-56 (0.028%)
20298_2_2	Bacteroides uniformis (0.227%)
20298_3_80	Enterococcus_D (0.0%)
12718_7_88	Subdoligranulum variabile (0.021%)
13414_6_66	Blautia_A obeum_A (0.023%)
18048_1_85	CAG-81 (0.044%)
21673_4_67	Bacteroides stercoris (0.02%)
21673_4_25	Ruminococcus_B torques (0.004%)
20298_3_20	Lactobacillus_B ruminis (0.001%)
13470_2_59	Bifidobacterium pseudocatenulatum (0.0%)
8080_1_71	Anaerotruncus colihominis (0.029%)
18048_1_40	Eubacterium_D innocuum (0.0%)
18048_1_44	Enterococcus faecalis (0.0%)
13470_2_76	Clostridium paraputrificum (0.0%)
13470_2_64	Bacteroides_A (0.034%)
14207_7_57	UBA1394 (0.002%)
13414_6_22	Blautia_A wexlerae (0.359%)
13414_6_15	Lachnospiraceae (0.027%)
18048_2_76	Bacteroides ovatus (0.049%)
14207_7_27	Intestinibacter bartlettii (0.0%)
13414_6_50	Dorea longicatena (0.139%)
12718_7_84	Faecalibacterium prausnitzii_C (0.549%)
11861_6_58	Blautia_A (0.126%)
18048_1_36	Lactobacillus_C rhamnosus (0.0%)
11861_6_65	Anaerotruncus colihominis (0.02%)
18048_2_58	Roseburia inulinivorans (0.013%)
21673_4_27	Bacteroides uniformis (0.078%)
21673_4_30	Dorea (0.039%)
13414_6_7	Collinsella aerofaciens (0.0%)
8080_1_70	Anaerostipes caccae (0.016%)
20298_3_12	Enterococcus_D gallinarum (0.0%)
14207_7_50	Agathobaculum (0.016%)
21673_4_31	Blautia_A obeum (0.057%)
12718_7_78	Butyricicoccus pullicaecorum (0.023%)
14207_6_6	Lactobacillus_H reuteri_A (0.0%)
14672_4_4	Exiguobacterium profundum (0.0%)
12718_7_20	Parabacteroides distasonis (0.034%)
13414_6_61	Bifidobacterium bifidum (0.0%)
14207_7_90	KLE1615 sp1 (0.162%)
20298_2_29	Propionibacterium freudenreichii (0.0%)
13414_6_13	Coprococcus eutactus_A (0.219%)
13470_2_68	Enorma massiliensis (0.0%)
20298_2_21	Bacteroides fragilis (0.07%)
13470_2_95	Ruminococcus_B sp2 (0.007%)
21673_4_57	Bifidobacterium longum (0.006%)
13414_6_51	Ruminococcus_B faecis (0.094%)
13470_2_78	Peptostreptococcaceae (0.0%)
18048_1_38	Enterococcus faecalis (0.0%)
20287_6_55	Blautia_A (0.011%)
20298_2_13	Lactobacillus_C paracasei (0.0%)
11861_6_66	Bacillus paralicheniformis (0.0%)
12718_7_14	Lactobacillus intestinalis (0.0%)
18048_2_80	Erysipelatoclostridium (0.001%)
18048_1_77	Bifidobacterium adolescentis_A (0.0%)
18048_2_83	Ruminococcus_B torques (0.007%)
21673_4_16	Bacteroides xylanisolvens (0.037%)
18048_2_79	Bacteroides fragilis (0.067%)
13414_6_21	Blautia_A obeum (0.139%)
13414_6_3	Coprococcus sp1 (0.012%)
18048_1_78	Sutterella wadsworthensis (0.0%)
20287_6_60	Bacteroides clarus (0.007%)
12718_7_70	Streptococcus (0.002%)
13414_6_14	Anaerostipes hadrus_A (0.006%)
15841_8_64	Clostridioides difficile (0.0%)
20298_2_24	Lactobacillus_B salivarius (0.0%)
20287_6_45	Parabacteroides distasonis (0.048%)
14207_7_30	Clostridium baratii (0.0%)
14207_7_10	Eubacterium_I (0.004%)
20287_6_23	Agathobacter rectalis (0.349%)
11861_6_56	Eubacterium_E hallii (0.015%)
20287_6_40	Bacteroides_B vulgatus (0.006%)
11861_6_64	Anaerostipes caccae (0.007%)
14207_7_7	Agathobacter rectalis (0.29%)
18048_1_41	Erysipelatoclostridium ramosum (0.005%)
13414_6_37	CAG-41 sp1 (0.2%)
14207_7_64	Christensenellales (0.006%)
13470_2_70	Turicibacter sanguinis_A (0.0%)
13414_6_5	Turicibacter sanguinis (0.0%)
13414_6_25	Massilimaliae (0.004%)
12718_7_94	Marvinbryantia (0.007%)
12718_7_48	Gordonibacter pamelaeae (0.021%)
21673_4_81	Blautia_A (0.042%)
20298_2_48	Streptococcus anginosus (0.002%)
13470_2_93	Lachnospiraceae (0.055%)
21673_4_33	Parabacteroides johnsonii (0.032%)
13470_2_81	Blautia_A (0.187%)
20287_6_56	Blautia_A obeum (0.058%)
13414_6_16	Coprococcus_B comes (0.085%)
13414_6_74	Alistipes onderdonkii (0.009%)
21673_4_78	Clostridium_P perfringens (0.0%)
12718_7_41	Anaerotignum (0.058%)
14637_1_53	Escherichia (0.0%)
18048_2_94	Lachnospira eligens (0.124%)
20298_3_69	Anaerotruncus rubiinfantis (0.016%)
20298_3_77	Escherichia (0.0%)
20287_6_22	CAG-353 (0.008%)
13470_2_55	Lachnospira rogosae (0.068%)
14207_7_61	CAG-353 (0.027%)
13414_6_8	Bifidobacterium (0.0%)
20298_3_8	KLE1796 (0.02%)
12718_7_65	Ruminococcus_D bicirculans (0.121%)
14207_7_41	Blautia_A (0.068%)
20287_6_58	Eubacterium_G ventriosum (0.012%)
14207_6_2	Muribaculum intestinale (0.002%)
20298_3_16	Bifidobacterium longum (0.007%)
8080_1_94	Sellimonas intestinalis (0.004%)
12718_7_63	Blautia_A (0.005%)
11861_6_61	Tidjanibacter massiliensis (0.007%)
13470_2_83	Clostridium_Q symbiosum (0.002%)
18048_2_55	Clostridioides difficile (0.0%)
11861_6_68	Bacteroides cellulosilyticus (0.205%)
21673_4_88	Bifidobacterium longum (0.007%)
12718_7_39	Clostridium butyricum (0.0%)
21673_4_75	Parabacteroides distasonis (0.049%)
20287_6_4	Achromobacter xylosoxidans (0.0%)
14207_7_65	Bacteroides uniformis (0.153%)
12718_7_76	Eubacterium_E hallii (0.016%)
12718_7_13	Staphylococcus xylosus (0.0%)
12718_7_45	Clostridium (0.0%)
20298_3_13	Klebsiella_A oxytoca (0.0%)
21673_4_14	Bacteroides stercoris (0.02%)
14672_4_2	Escherichia (0.0%)
21673_4_15	Bacteroides_B vulgatus (0.003%)
20298_3_64	Marseille-P4683 (0.017%)
12718_7_47	Coprococcus eutactus (0.16%)
18048_2_70	Subdoligranulum formicilis (0.461%)
13414_6_47	Agathobacter faecis (0.702%)
13470_2_80	Blautia_A wexlerae (0.377%)
13670_3_12	Anaerostipes hadrus (0.077%)
18048_1_89	Eubacterium_G ventriosum (0.024%)
12718_7_82	Dorea longicatena (0.138%)
18048_2_56	Dorea scindens_A (0.069%)
13414_6_4	Faecalibacterium prausnitzii_C (0.699%)
13414_6_28	Blautia_A (0.049%)
20298_3_79	Hafnia paralvei (0.0%)
20287_6_46	Bacteroides uniformis (0.075%)
13470_2_91	Dorea (0.019%)
13414_6_12	Mitsuokella jalaludinii (0.0%)
12718_7_2	Escherichia coli (0.0%)
13414_6_41	Blautia_A hydrogenotrophica (0.008%)
11861_6_93	Clostridium_M clostridioformis (0.006%)
14670_1_62	Enterococcus_D gallinarum (0.0%)
20287_6_31	Bacteroides ovatus (0.058%)
20298_2_54	Enterococcus_D gallinarum (0.0%)
18048_1_94	Lachnospira eligens (0.123%)
14207_7_6	Eubacterium_E hallii (0.018%)
20287_6_49	Blautia_A obeum (0.061%)
18048_1_67	Ruminococcus_A (0.015%)
18048_2_71	Parabacteroides distasonis (0.039%)
14207_7_26	Eubacterium_D sp1 (0.046%)
12718_7_68	Streptococcus mutans (0.0%)
20298_2_58	Lactobacillus_B animalis (0.0%)
14207_7_49	Agathobaculum sp1 (0.118%)
20298_2_11	Klebsiella_A michiganensis_A (0.0%)
20287_6_53	Bacteroides thetaiotaomicron (0.04%)
20287_6_1	Achromobacter xylosoxidans (0.0%)
18048_2_66	Bacteroides faecis (0.006%)
20298_2_15	Pediococcus acidilactici (0.0%)
20287_6_82	Bacteroides_B vulgatus (0.004%)
18048_2_60	Ruminococcus_B faecis (0.075%)
18048_1_56	Dorea scindens_A (0.069%)
14207_7_77	Clostridium saudiense (0.001%)
18048_2_49	Clostridium_P perfringens (0.0%)
20287_6_28	Blautia_A (0.01%)
20298_2_26	Lactobacillus_C paracasei (0.0%)
21673_4_41	Bacteroides uniformis (0.071%)
13414_6_29	Eubacterium_E hallii (0.024%)
20287_6_65	Bacteroides_B vulgatus (0.004%)
14207_7_83	Roseburia intestinalis (0.03%)
18048_1_80	Erysipelatoclostridium (0.001%)
12718_7_51	Ruminococcus_B (0.025%)
18048_2_45	Enterococcus faecalis (0.0%)
21673_4_26	Enterococcus faecalis (0.0%)
18391_1_11	Streptococcus lutetiensis (0.0%)
11861_6_62	Alistipes onderdonkii (0.009%)
20298_3_6	Enterococcus faecalis (0.0%)
20287_6_30	Bacteroides stercoris (0.006%)
13470_2_87	Dorea formicigenerans (0.04%)
21673_4_9	Alistipes onderdonkii (0.05%)
21673_4_71	CAG-81 sp1 (0.049%)
20298_2_57	Bacteroides cellulosilyticus (0.201%)
13470_2_67	Parabacteroides merdae (0.197%)
14637_1_58	Lactobacillus_B salivarius (0.0%)
13470_2_62	Bacteroides_A (0.036%)
18048_1_48	Enterococcus faecalis (0.0%)
12718_7_90	Bacteroides uniformis (0.164%)
14207_6_7	Lactobacillus johnsonii (0.0%)
14207_7_71	Parabacteroides distasonis (0.033%)
12718_7_62	Pediococcus acidilactici (0.0%)
13470_2_84	Clostridium_M clostridioformis (0.005%)
13414_6_44	Agathobacter rectalis (0.336%)
18048_2_63	Coprococcus eutactus_A (0.152%)
15841_8_86	Ruminococcus_B gnavus (0.004%)
13154_4_44	Bacteroides clarus (0.007%)
13470_2_94	Lachnospira eligens (0.161%)
20287_6_36	Blautia_A obeum (0.11%)
13470_2_54	Eubacterium_E hallii (0.036%)
14207_7_37	Dorea longicatena_B (0.108%)
14207_7_55	Flavonifractor plautii (0.01%)
